"Position","Name","Type","Signal","Label"
"1","VBAT","Power","",""
"2","PC13","I/O","RTC_TS",""
"3","PC14-OSC32_IN (PC14)","I/O","RCC_OSC32_IN",""
"4","PC15-OSC32_OUT (PC15)","I/O","RCC_OSC32_OUT",""
"5","PH0-OSC_IN (PH0)","I/O","RCC_OSC_IN",""
"6","PH1-OSC_OUT (PH1)","I/O","RCC_OSC_OUT",""
"7","NRST","Reset","",""
"8","PC0","I/O","ADC1_IN1 ADC2_IN1","ADC2_IN1_FWDREV"
"9","PC1","I/O","LPUART1_TX",""
"10","PC2","I/O","ADC2_IN3 ADC3_IN3","ADC3_IN3_VDIODE"
"11","PC3","Output","GPIO_Output","GPIO_SWR_SEL_FWD"
"12","VSSA/VREF-","Power","",""
"13","VDDA/VREF+","Power","",""
"14","PA0","I/O","UART4_TX",""
"15","PA1","I/O","UART4_RX",""
"16","PA2","I/O","SYS_WKUP4",""
"17","PA3","Output","GPIO_Output","GPIO_SWR_SEL_REV"
"18","VSS","Power","",""
"19","VDD","Power","",""
"20","PA4","I/O","DAC1_OUT1",""
"21","PA5","I/O","SPI1_SCK",""
"22","PA6","I/O","SPI1_MISO",""
"23","PA7","I/O","SPI1_MOSI",""
"24","PC4","Output","GPIO_Output","GPIO_SPI_RST"
"25","PC5","I/O","COMP1_INP",""
"26","PB0","Output","GPIO_Output","GPIO_SPI_SEL_L"
"27","PB1","Output","GPIO_Output","GPIO_SPI_SEL_C"
"28","PB2","Output","GPIO_Output","GPIO_SPI_SEL_EXT"
"29","PB10","I/O","LPUART1_RX",""
"30","PB11","Output","GPIO_Output","GPIO_SPI_PWM"
"31","VSS","Power","",""
"32","VDD","Power","",""
"33","PB12","I/O","LPUART1_RTS",""
"34","PB13","I/O","LPUART1_CTS",""
"35","PB14","I/O","",""
"36","PB15","I/O","",""
"37","PC6","I/O","",""
"38","PC7","I/O","",""
"39","PC8","I/O","",""
"40","PC9","I/O","",""
"41","PA8","I/O","RCC_MCO",""
"42","PA9","I/O","USB_OTG_FS_VBUS",""
"43","PA10","I/O","USB_OTG_FS_ID",""
"44","PA11","I/O","USB_OTG_FS_DM",""
"45","PA12","I/O","USB_OTG_FS_DP",""
"46","PA13 (JTMS-SWDIO)","I/O","SYS_JTMS-SWDIO",""
"47","VSS","Power","",""
"48","VDDUSB","Power","",""
"49","PA14 (JTCK-SWCLK)","I/O","SYS_JTCK-SWCLK",""
"50","PA15 (JTDI)","I/O","UART4_RTS",""
"51","PC10","I/O","",""
"52","PC11","I/O","",""
"53","PC12","I/O","",""
"54","PD2","I/O","",""
"55","PB3 (JTDO-TRACESWO)","I/O","",""
"56","PB4 (NJTRST)","I/O","COMP2_INP",""
"57","PB5","I/O","",""
"58","PB6","I/O","I2C1_SCL",""
"59","PB7","I/O","UART4_CTS",""
"60","BOOT0","Boot","",""
"61","PB8","I/O","",""
"62","PB9","I/O","I2C1_SDA",""
"63","VSS","Power","",""
"64","VDD","Power","",""
